time,value,n
2014-01-01,0,1
2014-02-01,0,2
2014-03-01,0,3
2014-04-01,0,4
2014-05-01,0,5
2014-06-01,0,6
2014-07-01,0,7
2014-08-01,0,8
2014-09-01,0,9
2014-10-01,0,10
2014-11-01,0,11
2014-12-01,0,12
2015-01-01,0,12
2015-02-01,0,12
2015-03-01,0,12
2015-04-01,0,12
2015-05-01,0,12
2015-06-01,0,12
2015-07-01,0,12
2015-08-01,0,12
2015-09-01,0,12
2015-10-01,0,12
2015-11-01,0,12
2015-12-01,0,12
2016-01-01,0,12
2016-02-01,0,12
2016-03-01,0,12
2016-04-01,0,12
2016-05-01,0,12
2016-06-01,0,12
2016-07-01,0,12
2016-08-01,0,12
2016-09-01,0,12
2016-10-01,0,12
2016-11-01,0,12
2016-12-01,0,12
2017-01-01,0,12
2017-02-01,0,12
2017-03-01,0,12
2017-04-01,0,12
2017-05-01,0,12
2017-06-01,0,12
2017-07-01,0,12
2017-08-01,0,12
2017-09-01,0,12
2017-10-01,0,12
2017-11-01,0,12
2017-12-01,0,12
2018-01-01,0,12
2018-02-01,0,12
2018-03-01,0,12
2018-04-01,0,12
2018-05-01,0,12
2018-06-01,0,12
2018-07-01,0,12
2018-08-01,0,12
2018-09-01,0,12
2018-10-01,0,12
2018-11-01,0,12
2018-12-01,0,12
2019-01-01,0,12
2019-02-01,0,12
2019-03-01,0,12
2019-04-01,0,12
2019-05-01,0,12
2019-06-01,0,12
2019-07-01,0,12
2019-08-01,0,12
2019-09-01,0,12
2019-10-01,0,12
2019-11-01,0,12
2019-12-01,0,12
2020-01-01,0,12
2020-02-01,0,12
2020-03-01,0,12
2020-04-01,26.5,12
2020-05-01,0,12
2020-06-01,24.583333333333332,12
2020-07-01,23,12
2020-08-01,0,12
2020-09-01,30.916666666666668,12
2020-10-01,0,12
2020-11-01,47.25,12
2020-12-01,0,12
2021-01-01,41.333333333333336,12
2021-02-01,17.583333333333332,12
2021-03-01,76.66666666666667,12
2021-04-01,33.166666666666664,12
2021-05-01,50.333333333333336,12
2021-06-01,38.666666666666664,12
2021-07-01,0,12
2021-08-01,0,12
2021-09-01,32.083333333333336,12
2021-10-01,17.916666666666668,12
2021-11-01,60.333333333333336,12
2021-12-01,0,12
